package_name,offer_desc,offer_name,IIP_name,Estimated Payout(cents),campaign_start,campaign_end
com.cashtime,Install and Reach 300 coins.,Cash Time - Das Prämienspiel Android App,adscendMedia,23.625,20190305.0,20190617.0
mappstreet.sokoban,Install and play a game for 3 minutes.,Sokoban Android App,adscendMedia,1.125,20190305.0,20190617.0
mappstreet.mohjong_solitaire,"Download, open and play for 3 minutes to get rewarded",Mohjong Solitaire Android App,adscendMedia,1.125,20190305.0,20190428.0
com.igg.android.lordsmobile,Install and Reach Castle level 11.,Lords Mobile: War Kingdom Android App,adscendMedia,157.5,20190305.0,20190617.0
com.igg.android.lordsmobile,Install and Reach Castle level 11.,Lords Mobile: War Kingdom Android App,adscendMedia,252.0,20190305.0,20190617.0
com.evogames.slavsforvk,Install and Reach level 10.,Harvest Land Android App,adscendMedia,63.0,20190305.0,20190617.0
mappstreet.spacelive,Installieren und lesen Sie einen Artikel.,Space Live Android App,adscendMedia,1.375,20190305.0,20190429.0
mappstreet.lifesaver,Installieren und verwenden Sie die App.,Life Saver Android App,adscendMedia,1.375,20190305.0,20190426.0
com.bahrigames.juicefresh,Installiere und erreiche Level 35.,Bahri Juice Fresh Android App,adscendMedia,7.875,20190305.0,20190617.0
mappstreet.mohjong_solitaire,Installiere und spiele für 6 Minuten.,Mohjong Solitaire Android App,adscendMedia,1.375,20190305.0,20190428.0
mappstreet.wordmapp,Installiere und beende Level 6.,Word Mapp Android App,adscendMedia,1.375,20190305.0,20190324.0
com.appkarma.app,Install + Reach 750 points (Start with 300 pts bonus!),appKarma Rewards & Gift Cards - Android,adscendMedia,42.0,20190305.0,20190617.0
com.bahrigames.monkeybubble,Installieren Sie und erreichen Sie Stufe 25.,Monkey Bubble Android App,adscendMedia,7.875,20190305.0,20190617.0
ru.crazybit.experiment,Installiere und erreiche Level 4.,Island Experiment Android App,adscendMedia,10.5,20190305.0,20190404.0
com.cashtime,Install + Open + Reach 300 coins,Cash Time - Das Prämienspiel - Android,adscendMedia,37.8,20190305.0,20190617.0
com.evogames.slavsforvk,Install and Reach level 10.,Harvest Land Android App,adscendMedia,39.375,20190305.0,20190617.0
de.kaufkick.com,Installieren und starten,KaufKick Android App,adscendMedia,4.2,20190305.0,20190324.0
io.thatisnomoon.ambidexter,Installieren und starten,Yunar - loyalty card app Android App,adscendMedia,7.8,20190305.0,20190429.0
mappstreet.sokoban,Instala y juega un juego por 3 minutos.,Sokoban Android App,adscendMedia,1.125,20190305.0,20190617.0
mappstreet.lifesaver,Instala y usa la aplicación.,Life Saver Android App,adscendMedia,1.375,20190305.0,20190426.0
com.giftswall,"Instalar, iniciar sesión y llegar a 400 puntos.",GiftsWall - Money and Gift Card Rewards Android App,adscendMedia,3.125,20190305.0,20190429.0
com.fintonic,Instalar y agregar cuenta bancaria.,Fintonic - Finanzas Personales Android App,adscendMedia,150.0,20190305.0,20190311.0
com.cashkarma.app,Install and Reach 850 Points. (Start with 300 pts bonus!),cashKarma Rewards & Gift Cards Android App,adscendMedia,66.0,20190305.0,20190617.0
